Company Name,Layoff Total,Workforce Region,WARN Date,Reason for Layoff,Occupations,Layoff Date(s),Temp Layoffs,Perm Layoffs,Furloughs,WARN Letter,NAICS 
Good Samaritan - Bonell Community,143,Weld,1/3/22,Closure,Healthcare workers,3/5/22,0,143,0,Good Samaritan,Sector 62: Healthcare & Social Assistance
Twitter (Boulder),87,Boulder,1-4-22,Not disclossed,"Various: First Mid line Mgrs (14), Professionals (70), Sales workers (1), Admin (2)",1/4/2023,0,87,0,Twitter Boulder,Sector 51: Information 519290 Web Search Portals & Other Info Services
American Financing Company,194,AdWorks,1-16-22,Unforeseeable business circumstances,Not provided,11/18/2022,0,194,0,American Financing,Sector 522310 : Mortgage and Nonmortgage Loan Brokers
Zillow Group - Supplemental,36,ADWorks,1/20/22,Closure,Not stated,1/3/22,0,36,0,Zillow Group,Sector 53: Real Estate Rental & Leasing
Zillow Group - Supplemental,39,ADWorks,2/17/22,Closure,Not stated,3/21/22,0,39,0,Zillow Group,Sector: 53: Real Estate Rental & Leasing
Ready Responders Inc.,1,Not Disclosed,2/18/22,Not disclosed,Director Product Security,2/1/22,0,1,0,Ready Responders Inc.,Sector 62 Healthcare  & Social Services
Watsonville Community Hospital,Unknown,Rural Consortium (Salida),3-17-22,Closure ,Not stated,5/16/22,Unknown,Unknown,Unknown,Watsonville Community Hospital,Sector 62: Healthcare & Social Assistance
Zillow Group - Supplemental,44,ADWorks,3/21/22,Closure,Not stated,1/2/22,0,44,0,Zillow Group,Sector 53: Real Estate Rental & Leasing
Cripple Creek Care Center,9,Pikes Peak/Teller,4/15/2022,Closure,Health care professionals,3/3/2022,0,0,0,Cripple Creek,Sector 62: Healthcare & Social Assistance
Sparboe Farms,95,Weld,5/2/22,Closure (Temporary),Various (See WARN),05/04/22,95,0,0,Sparboe Farms,"Sector: 11: Agriculture, forestry, fishing & hunting"
Watsonville Community Hospital (Update),658,Rural Consortium (Salida),5/11/22,Closure (Sale of Business),Various (See WARN),7/14/22,0,658,0,Watsonville Community Hospital,Sector 62: Healthcare & Social Assistance
All Money Financial Group,10,Denver,6/1/2022,COVID/Pandemic,Not stated,9/26/2024,0,10,0,,Sector 52: Finance and Insurance
Total Energy Solutions,6,PikePeak/Teller,6/13/22,Lost funding,Not stated,6/13/2022,6,0,0,Total Energy Solutions,Sector 22: Utilities
"Integrated Health Services at Colorado Springs, Inc.",144,Pikes Peak/Teller,6/23/2022,Closure,Health care professionals,8/22/2022,0,144,0,Integrated Health,Sector 62: Healthcare & Social Assistance
Vivage,144,Pikes Peak/Teller,6/23/22,Closure,"RN, LPN, C.N.A, Dining Aides, Activity Aides, Housekeepers, Laundry Aides, Central Supply, HR, Business Office Manager, AP Specialist",8/22/2022,0,144,0,Vivage,Sector 62: Healthcare & Social Assistance
Watsonville Community Hospital (Update),673,Rural Consortium (Salida),7/11/2022,Closure (Sale of Business),Various (See WARN),8/17/2022,0,673,0,Watsonville Community Hospital (Update),Sector 62: Healthcare & Social Assistance
HSS Inc.,230,Denver,7/12/22,Loss of Contract w/City of Denver,See WARN,9/1/2022,0,230,0,HSS Inc.,Sector 56: Administrative and Support and Waste Management and Remediation Services
Metco Landscaping (Arvada),60,Jefferson ,8/1/22,Unforseen Business Circumstance,See WARN,7/28/22,0,60,0,Metco Arvada,Sector 561730: Landscaping
Metco Landscaping (Aurora HQ),165,ADWorks,8/1/22,Unforseen Business Circumstance,See WARN,7/28/22,0,165,0,Metco Aurora HQ,Sector 561730: Landscaping
Metco Landscaping (Aurora),44,ADWorks,8/1/22,Unforseen Business Circumstance,See WARN,7/28/22,0,44,0,Metco Aurora,Sector 561730: Landscaping
Metco Landscaping (Colo Springs),36,El Paso,8/1/22,Unforseen Business Circumstance,See WARN,7/28/22,0,36,0,Metco Colo Springs,Sector 561730: Landscaping
Metco Landscaping (Englewood),38,ADWorks,8/1/22,Unforseen Business Circumstance,See WARN,7/28/22,0,38,0,Metco Englewood,Sector 561730: Landscaping
Chord Energy,104,Denver,9/29/22,Merger wth Whiting & Oasis,Various (See WARN),12/1/2022,0,104,0,Chord Energy,Sector: 22 Utilities 118 Other Electrical Power Generators
Cross Country Mortgage LLC,100,Denver,11/1/22,Reduction in Force,Mortgage employees,Not provided,0,100,0,Cross Country Mortage,Sector 52: Finance & Insurance
Platerra Foods,121,"Denver, Boulder",9/29/22,Closure - Cease Operations,Not stated,11/30/2022,0,121,0,Platerra,"Sector 31, 311: Food Manufacturing"
Starry Inc.,41,ADWorks,10/20/22,Business Changes,Various (See WARN),10/21/2022,0,41,0,Starry Inc.,Sector 51: Information
Astra Space Inc.,72 (1 in CO),Pikes Peak/Teller,11/9/22,Refocus business operations,Various (See WARN),11/9/2022,0,1 (of 72 in CO),0,Astra Space inc.,Sector 336414: Guided Missile and Space Vehicle Manufacturing
Rume Health,1,Denver,11/21/22,Unknown,Trainer,1/20/2023,0,1,0,,Sector 62:Healthcare & Social Assistance
Twitter (Boulder) Supplemental,38 (voluntarily resigned),Boulder,11/25/22,Voluntary Resignation,Various (See WARN),1/20/2023,0,38 (resigned voluntarily),0,Twitter Supplemental,Sector 51: Information 519290 Web Search Portals & Other Info Services
Inscripta,43,Boulder,12/2/22,Closure/Reduction in Force,Various (See WARN),,0,43,0,Inscripta,"Sector 54: Professional, Scientific Services"
Centura Porter Place  ,55,Denver,12/14/22,Closure of Retirement Center,Various (See WARN),2/17/2023,0,55,0,Centura Porter Place,Sector 62: Healthcare & Social Assistance
Wanzek Construction,666,Pueblo,1/3/23,Cancellation of Contract,Unknown,1/3/2023,0,666,0,Wanzek Construction,Sector 23: Construction
Wanzek Construction,666,Pueblo,1/3/23,Sudden Contract Loss,Various construction positions,1/3/23,0,666,0,Wanzek Construction,Sector 23: Construction
Gymshark,67,Denver,1/9/23,Ceasing Operations in some areas of the company,Not Stated,3/10/23,0,67,0,Gymshark,Sector 31: Manufacturing
Specialized Bicycle Components,15,Boulder,1/11/23,Downsizing,"Software developer, Acct Mgr, e-commerce, mktg, pgm mgr",1/13/23,0,15,0,Specialized Bicycle Components,Sector 42: Wholesale Trade
Curaleaf,47,Pueblo,1/26/23,RIF/Change in Business ,Various (see WARN letter),3/26/23,0,47,0,Curaleaf,Sector 32: Manufacturing
DCP Midstream,136,Denver,1/25/23,Not Stated,Not Stated,3/31/23,0,136,0,DCP Midstream,Sector 22: Natural Gas Distribution
Pinnacle Architectural Lighting Inc.,151,Denver,2/1/23,Restructuring & Reorganization,Electrical Assemblers & Varous,6/30/23,0,151,0,Pinnacle Architectural Lighting,Sector  541490: Other Specialized Design Services
Covercraft Industries LLC,49,Arapahoe/Douglas,2-9-23,Closure,Not Stated,4/14/23,0,49,0,Covercraft Industries,Sector 1: 314910: Textile Bag and Canvas Mills
WIX.com,62,Denver,2/15/23,Unforseen Business Circumstances,Various: See WARN ,2/15/23,0,62,0,WiX 2-15-23,"Sector 51,5182: Data Processing Hosting & Related Services"
Chipper Cash,5,Various,2/16/23,Not Stated,Various: See WARN ,02/17/23,0,49 (5 in CO),0,Chipper Cash,Sector 51: Information
Friday Health Plans,98,Rural Consortium (Alamosa) & Denver,3/1/23,Reduction in Business,Various: See WARN ,4/30/23,0,98,0,Friday Health Plans,"Sector 52,411: Direct Life, Health & Med Insurance"
SSI Venture/Aspen Sports (Aggregated),69,RR (Aspen),2/27/23,Strategic Business Decision,Various: See WARN ,5/1/2023,0,69,0,SSI Venture-Aspen Sports,"Sector:45,451 : Sporting Goods"
Aspiration Partners Inc.,4,"Denver, Broomfield",3/24/23,Restructing and streamlining,Various (See WARN),5/26/2023,0,4 (of 178),0,Aspiration,Sector:55 Management of Companies & Enterprises
Laramar Group LLC,76,"Denver, Broomfield",3/30/23,Not stated,Various (See WARN),P1: 6/1/23 P2: 7/14/23,0,76,0,Laramar Group LLC,Sector 53: Real Estate and Rental & Leasing
Prescient LLC,50,Jefferson,3/31/23,Mass layoff,Not Stated,3/31/2023,0,50,0,Prescient LLC,Sector 33: Manufacturing
David's Bridal,?* ,Multi area,4/14/23,Bankrupcy,Various (See WARN),Multi Phase (See WARN),0,?*,0,David's Bridal,Sector 44: Retail Trade
Davids Bridal (Update),?* ,Multi area,5/24/23,Bankrupcy,Various (See WARN),6/23/23,0,?*,0,Davids Bridal Update,Sector 44: Retail Trade
MV Transportation,198,Denver ,4/27/23,Not specified,"Drivers, Dispatchers, Admin, Utility Worker",6/30/23,0,198,0,MV Transportation,Sector 48: Transportation & Warehousing
Via Mobility Services,120,Denver,5/1/23,Loss of Contract,"Administrative support, operatives,  & service workers.",7/1/2023,0,120,0,Via Mobility Services,Sector 48: Transporation and Warehousing
Amentum,19,Pueblo,5/26/23,Closure (Phase 1),"Engineers, Maintenace Planners/Supervisors, Technicans*",7/27/2023,0,19,0,Amentum,"Sector: 56,2910: Remediation Services"
Hard Rock Cafe International STD,54,Denver,5/30/23,Closure ,Restaurant workers,7/29/2023,0,54,0,Hard Rock Cafe,Sector 72: Accommodation & Food Services
